id,classe,subclasse,desempenho,peso_classe,peso_subclasse,peso_por_questao
1,Matemática,Proporcionalidade direta e indireta,0.7029252901983509,1.0,0.145691,213.0
2,Matemática,Estatística,0.11411051473063037,1.0,0.127907,187.0
3,Matemática,Geometria plana,-0.8532641014164685,1.0,0.075239,110.0
4,Matemática,Geometria espacial,0.12218052844817778,1.0,0.064979,95.0
5,Matemática,Probabilidade,0.11963447408260501,1.0,0.05472,80.0
6,Matemática,Funções,0.9298772111456058,1.0,0.051984,76.0
7,Matemática,Razão,0.2245028821624464,1.0,0.038988,57.0
8,Matemática,Volume,0.798041849506142,1.0,0.038304,56.0
9,Matemática,Análise combinatória,-0.2991703111457782,1.0,0.036936,54.0
10,Matemática,Matemática financeira,0.252522860785202,1.0,0.032832,48.0
11,Matemática,Unidades de medida,0.06727977922954263,1.0,0.032148,47.0
12,Matemática,Equações,-0.9211439215579796,1.0,0.03078,45.0
13,Matemática,Geometria analítica,0.29966154829607794,1.0,0.025992,38.0
14,Matemática,Números racionais,-0.007552674207955622,1.0,0.023256,34.0
15,Matemática,Áreas de figuras planas,-0.5659185202693816,1.0,0.0171,25.0
16,Física,Calorimetria,-0.6730365800335714,1.0,0.077088,36.0
17,Física,Circuitos elétricos,0.2804817790175312,1.0,0.068522,32.0
18,Física,Termodinâmica,0.4573895933518102,1.0,0.051392,24.0
19,Física,Forças e movimento,-0.4090027810589832,1.0,0.049251,23.0
20,Física,Consumo de energia elétrica,0.2707352045849233,1.0,0.036403,17.0
21,Física,Reflexão e refração,-1.0,1.0,0.029979,14.0
22,Física,"Trabalho, energia e os teoremas",-0.37870457023203563,1.0,0.027837,13.0
23,Física,Propriedades físicas do som,-0.010707363473697804,1.0,0.027837,13.0
24,Física,Aplicações das propriedades das ondas,0.6897635182477005,1.0,0.023555,11.0
25,Física,"Lançamento vertical, horizontal e oblíquo",-0.28524600696641034,1.0,0.023555,11.0
26,Física,Movimento uniforme,-0.4804667614803746,1.0,0.019272,9.0
27,Física,Fenômenos sonoros,-0.19632958364675812,1.0,0.019272,9.0
28,Física,Qualidades fisiológicas do som,0.11690816644537472,1.0,0.019272,9.0
29,Química,Funções orgânicas,-0.46981849689166794,1.0,0.059932,35.0
30,Química,Reações orgânicas,0.037695354450006914,1.0,0.046233,27.0
31,Química,Aplicações da cinética química,-0.7940960047551747,1.0,0.041096,24.0
32,Química,Pilhas,-0.14496997726190797,1.0,0.032534,19.0
33,Química,Processos de separação de misturas,0.2624240148783614,1.0,0.032534,19.0
